hh_Theta=13,hh_Theta=20,hh_Theta=27,hh_Theta=34,hh_Theta=41,hh_Theta=48,hh_Theta=55,hh_Theta=61,hh_Theta=70,h0_Theta=13,h0_Theta=20,h0_Theta=27,h0_Theta=34,h0_Theta=41,h0_Theta=48,h0_Theta=55,h0_Theta=62,h0_Theta=69,h0_Theta=76,EnergyLoss (meV),,
0.132499,0.0970087,0.0643024,0.0621288,0.049038,0.0429318,0.0351428,0.0349212,0.0367246,0.132104,0.0963415,0.0724765,0.0620927,0.0480002,0.0397657,0.0381556,0.0353283,0.0371051,0.0363727,474.65,,
0.140149,0.100104,0.0652898,0.0589286,0.0476411,0.0408809,0.0362783,0.0366203,0.0356022,0.133724,0.0884347,0.0691343,0.0601719,0.0482156,0.0407029,0.0379362,0.0315245,0.0366476,0.0347341,484.3,,
0.148952,0.104525,0.065741,0.0551208,0.0479767,0.0361655,0.0337153,0.0386426,0.0301505,0.1322,0.0835407,0.0763145,0.0645768,0.045032,0.0435733,0.0402885,0.0293279,0.0352432,0.0360532,493.95,,
0.143029,0.0987669,0.0743821,0.0570878,0.0426146,0.039227,0.036702,0.0320252,0.0283711,0.129917,0.0925288,0.0796384,0.0615584,0.0445227,0.0466535,0.0362997,0.0296715,0.0344196,0.0350315,503.6,,
0.151967,0.102086,0.0729748,0.0543792,0.0489139,0.0400818,0.0399014,0.034004,0.0317388,0.133375,0.103584,0.0799695,0.0589321,0.0467006,0.0457037,0.0367814,0.0334878,0.0361505,0.0326857,513.25,,
0.160633,0.108818,0.0791149,0.0637221,0.0554472,0.0423875,0.0395931,0.0398429,0.0329625,0.141054,0.10166,0.0747364,0.0579592,0.050789,0.0368899,0.032344,0.0316756,0.0399043,0.0318556,522.9,,
0.150698,0.114073,0.0805825,0.0614689,0.0567254,0.0371124,0.0388332,0.0374303,0.033807,0.133892,0.101972,0.0814311,0.056488,0.0511483,0.0344554,0.0366896,0.0389042,0.0388479,0.0356454,532.55,,
0.152654,0.113812,0.0711146,0.0675085,0.0551913,0.0409291,0.0396658,0.0445797,0.0357935,0.137593,0.108501,0.0754182,0.0614504,0.0589924,0.0384937,0.0336454,0.0350995,0.0374896,0.0331244,542.2,,
0.165933,0.120745,0.0745567,0.0657695,0.0534852,0.0411924,0.0418342,0.0385514,0.0337345,0.148701,0.111438,0.0793981,0.0619962,0.055299,0.0375803,0.0425273,0.0406368,0.0352542,0.0307506,551.85,,
0.172505,0.120751,0.079196,0.0593695,0.0470226,0.0408182,0.0407818,0.0379692,0.033019,0.148573,0.106443,0.080632,0.0581244,0.0499781,0.0414046,0.0326015,0.0442097,0.0372043,0.0315204,561.5,,
0.166558,0.11638,0.08161,0.0611268,0.046484,0.0413955,0.0384587,0.0438364,0.0345543,0.152964,0.101319,0.0776065,0.0624568,0.0489451,0.0420069,0.0335295,0.0411124,0.0381532,0.0334588,571.15,,
0.166737,0.123019,0.0810237,0.0602808,0.0512655,0.0448489,0.040996,0.0432025,0.0368298,0.166877,0.100905,0.0789974,0.0683722,0.0511316,0.0451642,0.044388,0.0392437,0.0388228,0.0308236,580.8,,
